iter	Passed	Remaining
384	3051	2298
385	3060	2291
386	3068	2283
387	3077	2276
388	3087	2269
389	3095	2262
390	3101	2253
391	3110	2245
392	3117	2237
393	3125	2228
394	3132	2220
395	3140	2212
396	3147	2204
397	3157	2197
398	3165	2189
399	3173	2181
400	3180	2173
401	3189	2165
402	3195	2156
403	3204	2149
404	3212	2141
405	3219	2133
406	3227	2124
407	3235	2117
408	3243	2109
409	3252	2102
410	3260	2094
411	3267	2086
412	3274	2077
413	3282	2069
414	3290	2061
415	3299	2054
416	3307	2046
417	3314	2037
418	3322	2029
419	3330	2021
420	3337	2013
421	3344	2005
422	3352	1996
423	3359	1988
424	3367	1980
425	3374	1972
426	3381	1963
427	3388	1955
428	3395	1947
429	3403	1938
430	3410	1930
431	3417	1922
432	3425	1914
433	3432	1906
434	3439	1897
435	3449	1890
436	3457	1882
437	3465	1875
438	3472	1866
439	3480	1858
440	3487	1850
441	3494	1842
442	3502	1834
443	3511	1826
444	3518	1818
445	3525	1810
446	3533	1802
447	3540	1793
448	3547	1785
449	3554	1777
450	3562	1769
451	3569	1760
452	3576	1752
453	3583	1744
454	3591	1736
455	3598	1728
456	3606	1720
457	3613	1712
458	3620	1703
459	3629	1696
460	3636	1687
461	3643	1679
462	3650	1671
463	3658	1663
464	3665	1655
465	3672	1647
466	3679	1638
467	3686	1630
468	3693	1622
469	3701	1614
470	3708	1606
471	3716	1598
472	3724	1590
473	3731	1582
474	3738	1574
475	3749	1567
476	3759	1560
477	3769	1553
478	3777	1545
479	3786	1538
480	3794	1530
481	3801	1522
482	3808	1513
483	3815	1505
484	3823	1497
485	3830	1489
486	3839	1482
487	3848	1474
488	3856	1466
489	3865	1459
490	3872	1451
491	3879	1442
492	3886	1434
493	3894	1426
494	3901	1418
495	3907	1410
496	3916	1402
497	3922	1394
498	3930	1386
499	3938	1378
500	3945	1370
501	3952	1362
502	3960	1354
503	3967	1346
504	3975	1338
505	3982	1330
506	3989	1321
507	3996	1313
508	4004	1305
509	4011	1297
510	4018	1289
511	4025	1281
512	4032	1273
513	4039	1265
514	4047	1257
515	4055	1249
516	4063	1241
517	4071	1233
518	4078	1225
519	4086	1218
520	4094	1210
521	4102	1202
522	4109	1194
523	4116	1186
524	4122	1177
525	4131	1170
526	4138	1162
527	4146	1154
528	4153	1146
529	4161	1138
530	4168	1130
531	4176	1122
532	4182	1114
533	4189	1106
534	4196	1098
535	4203	1090
536	4211	1082
537	4218	1074
538	4228	1066
539	4236	1059
540	4245	1051
541	4253	1043
542	4260	1035
543	4268	1027
544	4275	1019
545	4282	1011
546	4290	1003
547	4297	996
548	4305	988
549	4312	980
550	4320	972
551	4327	964
552	4333	955
553	4341	948
554	4349	940
555	4357	932
556	4364	924
557	4372	916
558	4379	908
559	4387	901
560	4394	893
561	4402	885
562	4409	877
563	4417	869
564	4424	861
565	4431	853
566	4438	845
567	4445	837
568	4453	829
569	4460	821
570	4470	814
571	4477	806
572	4486	798
573	4493	790
574	4501	782
575	4508	774
576	4516	767
577	4523	759
578	4530	751
579	4537	743
580	4543	735
581	4551	727
582	4559	719
583	4566	711
584	4573	703
585	4581	695
586	4588	687
587	4596	680
588	4603	672
589	4613	664
590	4622	656
591	4631	649
592	4638	641
593	4645	633
594	4653	625
595	4660	617
596	4668	609
597	4675	602
598	4682	594
599	4689	586
600	4697	578
601	4704	570
602	4713	562
603	4720	554
604	4728	547
605	4735	539
606	4743	531
607	4750	523
608	4758	515
609	4766	507
610	4774	500
611	4781	492
612	4789	484
613	4797	476
614	4803	468
615	4811	460
616	4818	452
617	4826	445
618	4832	437
619	4839	429
620	4846	421
621	4855	413
622	4862	405
623	4870	398
624	4876	390
625	4883	382
626	4890	374
627	4896	366
628	4904	358
629	4911	350
630	4920	343
631	4927	335
632	4934	327
633	4941	319
634	4948	311
635	4957	303
636	4963	296
637	4972	288
638	4979	280
639	4988	272
640	4996	265
641	5003	257
642	5011	249
643	5020	241
644	5028	233
645	5036	226
646	5042	218
647	5050	210
648	5058	202
649	5064	194
650	5072	187
651	5080	179
652	5087	171
653	5095	163
654	5104	155
655	5112	148
656	5119	140
657	5126	132
658	5133	124
659	5140	116
660	5148	109
661	5155	101
662	5164	93
663	5171	85
664	5179	77
665	5186	70
666	5193	62
667	5200	54
668	5206	46
669	5213	38
670	5220	31
671	5227	23
672	5234	15
673	5243	7
674	5250	0
