iter	RMSE
179	160.2304862
180	160.2059091
181	160.1615105
182	160.1346148
183	160.1010568
184	160.0692008
185	160.0306982
186	160.0143813
187	159.9974463
188	159.9593888
189	159.9371767
190	159.9054671
191	159.8649275
192	159.806487
193	159.7870522
194	159.750761
195	159.7214939
196	159.6968982
197	159.6704777
198	159.6470197
199	159.6248019
200	159.5946732
201	159.5559944
202	159.5368687
203	159.508208
204	159.4696046
205	159.4457599
206	159.4283796
207	159.3902215
208	159.3588365
209	159.3359489
210	159.2954439
211	159.2639292
212	159.2432956
213	159.2177582
214	159.1666499
215	159.1396355
216	159.1028076
217	159.0919796
218	159.0713985
219	159.0367041
220	159.0169711
221	158.9873481
222	158.9524338
223	158.9274013
224	158.9011035
225	158.8506414
226	158.8313659
227	158.7983961
228	158.7701229
229	158.7381577
230	158.7239757
231	158.6891943
232	158.6568093
233	158.6254554
234	158.5992419
235	158.5819805
236	158.5470945
237	158.4962603
238	158.4587145
239	158.4332594
240	158.4078892
241	158.379423
242	158.3572281
243	158.3348998
244	158.311658
245	158.2634496
246	158.2311428
247	158.2043076
248	158.1643929
249	158.1397486
250	158.1158623
251	158.1022207
252	158.0842486
253	158.0608096
254	158.0356801
255	157.9984801
256	157.9780543
257	157.9494817
258	157.9232256
259	157.8948727
260	157.8741031
261	157.8458465
262	157.8258969
263	157.7972855
264	157.7646931
265	157.7434461
266	157.710786
267	157.6911699
268	157.6667853
269	157.6397574
270	157.614999
271	157.5858847
272	157.5569964
273	157.5254295
274	157.4955038
275	157.4669501
276	157.4412463
277	157.3973749
278	157.3768517
279	157.3482294
280	157.3235515
281	157.3002937
282	157.2710361
283	157.2460316
284	157.2138266
285	157.1843145
286	157.1562338
287	157.1346822
288	157.113107
289	157.0940567
290	157.0094931
291	156.9899047
292	156.9705363
293	156.950101
294	156.9254495
295	156.8985197
296	156.8812887
297	156.8622272
298	156.8405648
299	156.811271
300	156.7892537
301	156.7722069
302	156.7490293
303	156.7292589
304	156.7119451
305	156.6860031
306	156.657262
307	156.6292542
